2020-12-13T17:21:02.264 (priority normal) -> ---BEGIN LOG---
2020-12-13T17:21:02.317 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//
2020-12-13T17:23:25.059 (priority normal) -> Assigning next player
2020-12-13T17:23:25.060 (priority  debug) -> Current player 0 indexed is 0
2020-12-13T17:23:25.061 (priority  debug) -> Current player 0 indexed is now 1
2020-12-13T17:23:25.061 (priority  debug) -> Current player 0 indexed is now 1
2020-12-13T17:23:25.062 (priority  debug) -> Options for P2 are "blue 2 blue 3 red 6 ".
2020-12-13T17:23:25.064 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//Card to play on: red 5//Player 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The cards you can play are: blue 5 and red 4.//Will you (d)raw or (p)lay a card? P1 played blue 5//Card to play on: blue 5//Player 2 Contents of hand: blue 4, blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: blue 4, blue 6, and wild.//Will you (d)raw or (p)lay a card? P2 played blue 4//Card to play on: blue 4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The only card you can play is: red 4.//Will you (d)raw or (p)lay a card? P1 played red 4//Card to play on: red 4//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: green 4, red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now blue//Card to play on: wild//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 0.//Player 1 Contents of hand: blue 0, green 7, green 8, green 9, green +2, yellow 0//P1 played blue 0//Card to play on: blue 0//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip//P2: The only card you can play is: blue 6.//Will you (d)raw or (p)lay a card? P2 played blue 6//Card to play on: blue 6//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a +4.//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0, +4//You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P1 played +4//The new color is now red//Card to play on: +4//Player 2 Contents of hand: green 4, red 3, red 9, yellow skip//P2: Automatically drew 4 cards, given no other option.//Card to play on: +4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 4.//Drew a red reverse.//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, red reverse, yellow 0//P1 played red reverse//Order of play has been reversed.//Card to play on: red reverse//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a green 5.//Drew a yellow 6.//Drew a blue 0.//Drew a blue +2.//Drew a blue 9.//Drew a green 3.//Drew a blue 9.//Drew a blue +2.//Drew a red 5.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, red 5, yellow 0, yellow 6//P1 played red 5//Card to play on: red 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse, wild//P2: The cards you can play are: red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now green//Card to play on: wild//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 3, green 5, green 7, green 8, green 9, and green +2.//Will you (d)raw or (p)lay a card? P1 played green 5//Card to play on: green 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: green 2 and green 4.//Will you (d)raw or (p)lay a card? P2 played green 2//Card to play on: green 2//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 3, green 7, green 8, green 9, and green +2.//Will you (d)raw or (p)lay a card? P1 played green 3//Card to play on: green 3//Player 2 Contents of hand: green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: green 4 and red 3.//Will you (d)raw or (p)lay a card? "pg3" is not a valid choice. Use either the first letter or the whole word of the command you want to run. Will you (d)raw or (p)lay a card? P2 played green 4//Card to play on: green 4//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: blue 4, green 7, green 8, green 9, and green +2.//Will you (d)raw or (p)lay a card? P1 played green 7//Card to play on: green 7//Player 2 Contents of hand: red 3, red 9, yellow 2, yellow skip, yellow reverse//P2: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 3.//Drew a yellow 0.//Drew a red 7.//Player 2 Contents of hand: blue 3, red 3, red 7, red 9, yellow 0, yellow 2, yellow skip, yellow reverse//P2 played red 7//Card to play on: red 7//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 8, green 9, and green +2.//Will you (d)raw or (p)lay a card? P1 played green +2//Card to play on: green +2//Player 2 Contents of hand: blue 3, red 3, red 9, yellow 0, yellow 2, yellow skip, yellow reverse//P2: Automatically drew 2 cards, given no other option.//Card to play on: green +2//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 8, green 9, yellow 0, yellow 6//P1: The cards you can play are: blue +2, blue +2, green 8, and green 9.//Will you (d)raw or (p)lay a card? P1 played green 9//Card to play on: green 9//Player 2 Contents of hand: blue 1, blue 3, red 3, red 9, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: The only card you can play is: red 9.//Will you (d)raw or (p)lay a card? P2 played red 9//Card to play on: red 9//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 8, yellow 0, yellow 6//P1: The cards you can play are: blue 9, blue 9, and green 8.//Will you (d)raw or (p)lay a card? P1 played green 8//Card to play on: green 8//Player 2 Contents of hand: blue 1, blue 3, red 3, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: You cannot play any cards. You must draw until you have a playable card.//Drew a green 2.//Player 2 Contents of hand: blue 1, blue 3, green 2, red 3, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2 played green 2//Card to play on: green 2//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a green reverse.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green reverse, yellow 0, yellow 6//P1 played green reverse//Order of play has been reversed.//Card to play on: green reverse//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a green skip.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green skip, yellow 0, yellow 6//P1 played green skip//Player 2 has been skipped.//Card to play on: green skip//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a wild.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6, wild//You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P1 played wild//The new color is now red//Card to play on: wild//Player 2 Contents of hand: blue 1, blue 3, red 3, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: The only card you can play is: red 3.//Will you (d)raw or (p)lay a card? P2 played red 3//Card to play on: red 3//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 8.//Drew a blue 7.//Drew a red skip.//Player 1 Contents of hand: blue 0, blue 4, blue 7, blue 8, blue 9, blue 9, blue +2, blue +2, red skip, yellow 0, yellow 6//P1 played red skip//Player 2 has been skipped.//Card to play on: red skip//Player 1 Contents of hand: blue 0, blue 4, blue 7, blue 8, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a red 8.//Player 1 Contents of hand: blue 0, blue 4, blue 7, blue 8, blue 9, blue 9, blue +2, blue +2, red 8, yellow 0, yellow 6//P1 played red 8//Card to play on: red 8//Player 2 Contents of hand: blue 1, blue 3, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 7.//Drew a red 0.//Player 2 Contents of hand: blue 1, blue 3, blue 7, red 0, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2 played red 0//Card to play on: red 0//Player 1 Contents of hand: blue 0, blue 4, blue 7, blue 8, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: The cards you can play are: blue 0 and yellow 0.//Will you (d)raw or (p)lay a card? P1 played blue 0//Card to play on: blue 0//Player 2 Contents of hand: blue 1, blue 3, blue 7, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: blue 1, blue 3, blue 7, and yellow 0.//Will you (d)raw or (p)lay a card? P2 played blue 1//Card to play on: blue 1//Player 1 Contents of hand: blue 4, blue 7, blue 8, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: The cards you can play are: blue 4, blue 7, blue 8, blue 9, blue 9, blue +2, and blue +2.//Will you (d)raw or (p)lay a card? P1 played blue 4//Card to play on: blue 4//Player 2 Contents of hand: blue 3, blue 7, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: blue 3 and blue 7.//Will you (d)raw or (p)lay a card? P2 played blue 3//Card to play on: blue 3//Player 1 Contents of hand: blue 7, blue 8, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: The cards you can play are: blue 7, blue 8, blue 9, blue 9, blue +2, and blue +2.//Will you (d)raw or (p)lay a card? P1 played blue 8//Card to play on: blue 8//Player 2 Contents of hand: blue 7, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: The only card you can play is: blue 7.//Will you (d)raw or (p)lay a card? P2 played blue 7//Card to play on: blue 7//Player 1 Contents of hand: blue 7, blue 9, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: The cards you can play are: blue 7, blue 9, blue 9, blue +2, and blue +2.//Will you (d)raw or (p)lay a card? P1 played blue 9//Card to play on: blue 9//Player 2 Contents of hand: yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: You cannot play any cards. You must draw until you have a playable card.//Drew a red 0.//Player 2 Contents of hand: red 0, yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2 played red 0//Card to play on: red 0//Player 1 Contents of hand: blue 7, blue 9, blue +2, blue +2, yellow 0, yellow 6//P1: The only card you can play is: yellow 0.//Will you (d)raw or (p)lay a card? P1 played yellow 0//Card to play on: yellow 0//Player 2 Contents of hand: yellow 0, yellow 2, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: yellow 0, yellow 2, yellow 2, yellow skip, and yellow reverse.//Will you (d)raw or (p)lay a card? P2 played yellow 0//Card to play on: yellow 0//Player 1 Contents of hand: blue 7, blue 9, blue +2, blue +2, yellow 6//P1: The only card you can play is: yellow 6.//Will you (d)raw or (p)lay a card? P1 played yellow 6//Card to play on: yellow 6//Player 2 Contents of hand: yellow 2, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: yellow 2, yellow 2, yellow skip, and yellow reverse.//Will you (d)raw or (p)lay a card? P2 played yellow 2//Card to play on: yellow 2//Player 1 Contents of hand: blue 7, blue 9, blue +2, blue +2//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a yellow 4.//Player 1 Contents of hand: blue 7, blue 9, blue +2, blue +2, yellow 4//P1 played yellow 4//Card to play on: yellow 4//Player 2 Contents of hand: yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: yellow 2, yellow skip, and yellow reverse.//Will you (d)raw or (p)lay a card? P2 played yellow 2//Card to play on: yellow 2//Player 1 Contents of hand: blue 7, blue 9, blue +2, blue +2//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a red +2.//Player 1 Contents of hand: blue 7, blue 9, blue +2, blue +2, red +2//P1 played red +2//Card to play on: red +2//Player 2 Contents of hand: yellow skip, yellow reverse//P2: Automatically drew 2 cards, given no other option.//Card to play on: red +2//Player 1 Contents of hand: blue 7, blue 9, blue +2, blue +2//P1: The cards you can play are: blue +2 and blue +2.//Will you (d)raw or (p)lay a card? P1 played blue +2//Card to play on: blue +2//Player 2 Contents of hand: blue 2, red 6, yellow skip, yellow reverse//P2: Automatically drew 2 cards, given no other option.//Card to play on: blue +2//Player 1 Contents of hand: blue 7, blue 9, blue +2//P1: The cards you can play are: blue 7, blue 9, and blue +2.//Will you (d)raw or (p)lay a card? P1 played blue +2//Card to play on: blue +2//Player 2 Contents of hand: blue 2, green 1, green reverse, red 6, yellow skip, yellow reverse//P2: Automatically drew 2 cards, given no other option.//Card to play on: blue +2//Player 1 Contents of hand: blue 7, blue 9//P1: The cards you can play are: blue 7 and blue 9.//Will you (d)raw or (p)lay a card? P1 played blue 9//Card to play on: blue 9//Player 2 Contents of hand: blue 2, blue 3, green 1, green reverse, red 6, yellow 1, yellow skip, yellow reverse//P2: The cards you can play are: blue 2, blue 3, and red 6.//
2020-12-13T17:23:25.065 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((b|blue)\s*([23]){1})|((r|red)\s*([6]){1})))\b)"
2020-12-13T17:23:26.702 (priority  debug) -> rawish response is "pb3"
2020-12-13T17:23:26.703 (priority  debug) -> response was accepted as a regex match, returning as simplified version
2020-12-13T17:23:26.704 (priority  debug) -> simplifyUserResponse() received "pb3" as the only argument, proceeding with abbreviations and removing whitespace.
2020-12-13T17:23:26.704 (priority  debug) -> simplifyUserResponse() has finished abbreviating and will be returning a final result of "pb3"
2020-12-13T17:23:26.705 (priority  debug) -> P2's response: "pb3"
